,Architecture,Min Watts,Max Watts,GB/Chip
0,Graviton,0.4742621527777778,1.6929615162037037,129.77777777777777
1,Ivy Bridge,3.0369270833333335,8.248611111111112,14.933333333333334
2,Sandy Bridge,2.1694411458333334,8.575357663690477,16.480916030534353
3,Haswell,1.9005681818181814,6.012910353535353,27.310344827586206
4,Sky Lake,0.6446044454253452,4.193436438541878,80.43037974683544
5,Cascade Lake,0.6389493581523519,3.9673047343937564,98.11764705882354
6,EPYC 2nd Gen,0.4742621527777778,1.6929615162037037,129.77777777777777
7,Graviton2,0.4742621527777778,1.6929615162037037,129.77777777777777
8,Broadwell,0.7128342245989304,3.6853275401069516,69.6470588235294
9,EPYC 1st Gen,0.82265625,2.553125,89.6
10,Coffee Lake,1.138425925925926,5.421759259259258,19.555555555555557
11,Alder Lake,1.138425925925926,5.421759259259258,19.555555555555557
